instance,time_standard,iters_standard,time_bonus,iters_bonus,time_diff,iters_diff
instance_10_circle_1.txt,0.0957,2,0.0978,2,0.0021,0
instance_10_euclidean_1.txt,0.0613,1,0.0649,1,0.0036,0
instance_10_euclidean_2.txt,0.0933,2,0.0961,2,0.0029,0
instance_10_line_1.txt,0.1489,4,0.1500,4,0.0011,0
instance_10_random_asym_1.txt,0.0312,0,0.0304,0,-0.0007,0
instance_10_random_sym_1.txt,0.0957,2,0.1055,2,0.0099,0
instance_12_circle_1.txt,0.2736,4,0.2814,4,0.0079,0
instance_12_line_1.txt,0.3682,6,0.3853,6,0.0171,0
instance_14_circle_1.txt,0.0897,1,0.0867,1,-0.0029,0
instance_14_line_1.txt,0.3971,7,0.4425,7,0.0455,0
instance_15_euclidean_1.txt,0.2795,5,0.2704,5,-0.0090,0
instance_15_euclidean_2.txt,0.1786,3,0.1948,3,0.0163,0
instance_15_random_asym_1.txt,0.0935,1,0.0887,1,-0.0047,0
instance_15_random_sym_1.txt,0.0938,1,0.0882,1,-0.0056,0
instance_20_euclidean_1.txt,0.0986,1,0.0971,1,-0.0015,0
instance_20_euclidean_2.txt,0.1899,2,0.1823,2,-0.0076,0
instance_20_random_asym_1.txt,0.0979,1,0.0982,1,0.0003,0
instance_20_random_sym_1.txt,0.3838,5,0.4369,5,0.0531,0
instance_25_euclidean_1.txt,0.4602,4,0.4440,4,-0.0162,0
instance_25_euclidean_2.txt,0.3321,4,0.3267,4,-0.0054,0
