instance,formulation,obj_int,time_int,obj_relax,time_relax,gap,vars,constr
instance_10_circle_1.txt,MTZ,298.57,0.2685,248.58,0.0393,0.1674,100,102
instance_10_circle_1.txt,DFJ_enum,298.57,0.1069,298.57,0.0733,0.0000,90,1032
instance_10_circle_1.txt,DFJ_iter,298.57,0.0966,,,,90,28
instance_10_euclidean_1.txt,MTZ,207.85,0.0953,200.21,0.0397,0.0368,100,102
instance_10_euclidean_1.txt,DFJ_enum,207.85,0.1073,207.85,0.0708,0.0000,90,1032
instance_10_euclidean_1.txt,DFJ_iter,207.85,0.0641,,,,90,25
instance_10_euclidean_2.txt,MTZ,323.92,0.1114,312.94,0.0380,0.0339,100,102
instance_10_euclidean_2.txt,DFJ_enum,323.92,0.1081,323.92,0.0713,0.0000,90,1032
instance_10_euclidean_2.txt,DFJ_iter,323.92,0.0907,,,,90,28
instance_10_line_1.txt,MTZ,156.14,0.8735,81.49,0.0438,0.4781,100,102
instance_10_line_1.txt,DFJ_enum,156.14,0.1079,156.14,0.0756,-0.0000,90,1032
instance_10_line_1.txt,DFJ_iter,156.14,0.1592,,,,90,33
instance_10_random_asym_1.txt,MTZ,191.53,0.0589,191.53,0.0399,0.0000,100,102
instance_10_random_asym_1.txt,DFJ_enum,191.53,0.1032,191.53,0.0752,0.0000,90,1032
instance_10_random_asym_1.txt,DFJ_iter,191.53,0.0326,,,,90,20
instance_10_random_sym_1.txt,MTZ,280.99,0.2778,262.29,0.0349,0.0666,100,102
instance_10_random_sym_1.txt,DFJ_enum,280.99,0.1063,280.99,0.0747,0.0000,90,1032
instance_10_random_sym_1.txt,DFJ_iter,280.99,0.0900,,,,90,28
instance_12_circle_1.txt,MTZ,265.22,0.8635,176.08,0.0366,0.3361,144,146
instance_12_circle_1.txt,DFJ_enum,265.22,0.4151,265.22,0.2357,0.0000,132,4106
instance_12_circle_1.txt,DFJ_iter,265.22,0.2163,,,,132,39
instance_12_line_1.txt,MTZ,174.80,3.5117,111.26,0.0397,0.3635,144,146
instance_12_line_1.txt,DFJ_enum,174.80,0.4515,174.80,0.2371,0.0000,132,4106
instance_12_line_1.txt,DFJ_iter,174.80,0.3501,,,,132,43
instance_14_circle_1.txt,MTZ,304.48,1.0099,221.94,0.0412,0.2711,196,198
instance_14_circle_1.txt,DFJ_enum,304.48,2.1370,304.48,1.1310,0.0000,182,16396
instance_14_circle_1.txt,DFJ_iter,304.48,0.0881,,,,182,34
instance_14_line_1.txt,MTZ,188.02,17.2482,71.59,0.0472,0.6193,196,198
instance_14_line_1.txt,DFJ_enum,188.02,3.9968,188.02,1.1387,-0.0000,182,16396
instance_14_line_1.txt,DFJ_iter,188.02,0.3882,,,,182,53
instance_15_euclidean_1.txt,MTZ,306.70,3.6452,228.74,0.0398,0.2542,225,227
instance_15_euclidean_1.txt,DFJ_enum,306.70,5.0152,306.70,2.6144,0.0000,210,32781
instance_15_euclidean_1.txt,DFJ_iter,306.70,0.2641,,,,210,50
instance_15_euclidean_2.txt,MTZ,345.91,3.9568,243.46,0.0391,0.2962,225,227
instance_15_euclidean_2.txt,DFJ_enum,345.91,4.8502,345.91,2.6574,0.0000,210,32781
instance_15_euclidean_2.txt,DFJ_iter,345.91,0.1834,,,,210,45
instance_15_random_asym_1.txt,MTZ,342.94,0.1310,342.64,0.0396,0.0009,225,227
instance_15_random_asym_1.txt,DFJ_enum,342.94,4.7441,342.94,2.6129,0.0000,210,32781
instance_15_random_asym_1.txt,DFJ_iter,342.94,0.0928,,,,210,32
instance_15_random_sym_1.txt,MTZ,377.50,0.5972,332.28,0.0400,0.1198,225,227
instance_15_random_sym_1.txt,DFJ_enum,377.50,4.8179,377.50,2.6177,0.0000,210,32781
instance_15_random_sym_1.txt,DFJ_iter,377.50,0.0935,,,,210,37
instance_20_euclidean_1.txt,MTZ,370.13,1.1545,315.75,0.0434,0.1469,400,402
instance_20_euclidean_1.txt,DFJ_iter,370.13,0.0934,,,,380,50
instance_20_euclidean_2.txt,MTZ,396.75,39.1797,336.96,0.2253,0.1507,400,402
instance_20_euclidean_2.txt,DFJ_iter,396.75,0.1863,,,,380,56
instance_20_random_asym_1.txt,MTZ,324.08,0.5471,319.44,0.0569,0.0143,400,402
instance_20_random_asym_1.txt,DFJ_iter,324.08,0.0928,,,,380,43
instance_20_random_sym_1.txt,MTZ,371.10,3.0504,356.43,0.0465,0.0395,400,402
instance_20_random_sym_1.txt,DFJ_iter,371.10,0.3776,,,,380,59
instance_25_euclidean_1.txt,MTZ,410.26,3.5122,346.98,0.0482,0.1543,625,627
instance_25_euclidean_1.txt,DFJ_iter,410.26,0.4424,,,,600,72
instance_25_euclidean_2.txt,MTZ,418.56,12.9000,364.41,0.0499,0.1294,625,627
instance_25_euclidean_2.txt,DFJ_iter,418.56,0.3302,,,,600,74
